category,file,status,error,mean_similarity,min_similarity,max_similarity,std_similarity,ref_to_hyp_mean,hyp_to_ref_mean,num_chunks_ref,num_chunks_hyp
1.original,25_2023_QH15_548477.txt,ok,,0.852973,0.729810,0.918071,0.021893,0.890085,0.885603,63,63
1.original,25_2026_NQ-HDND_709430.txt,ok,,0.834111,0.728114,0.932787,0.053934,0.905315,0.906698,7,7
1.original,25_2026_NQ-HDND_709752.txt,ok,,0.822322,0.655592,0.947463,0.044039,0.876254,0.873755,24,24
1.original,26_2023_QH15_m_552422.txt,ok,,0.839230,0.549839,0.912597,0.043484,0.879637,0.882875,68,68
1.original,26_2026_NQ-HDND_709418.txt,ok,,0.841150,0.694305,0.919832,0.050516,0.895642,0.895980,20,20
1.original,26_2026_NQ-HDND_709750.txt,ok,,0.829067,0.607674,0.954880,0.034243,0.883361,0.878813,117,117
1.original,26_NQ-HDND_709743.txt,ok,,0.833000,0.635359,0.915230,0.040773,0.878567,0.877216,27,27
1.original,278_NQ-UBTVQH16_709850.txt,ok,,0.819613,0.692098,0.967554,0.050753,0.886993,0.880902,15,15
1.original,279_NQ-UBTVQH16_709851.txt,ok,,0.826494,0.608385,0.916849,0.050026,0.871195,0.869614,39,39
1.original,27_2023_QH15_528669.txt,ok,,0.833519,0.685881,0.926418,0.027257,0.884371,0.881392,378,366
1.original,27_2026_NQ-HDND_709419.txt,ok,,0.792526,0.469144,0.929597,0.114909,0.871145,0.871171,13,13
1.original,27_2026_NQ-HDND_709748.txt,ok,,0.855171,0.693483,0.933116,0.039312,0.904749,0.903417,31,31
1.original,28_2023_QH15_583801.txt,ok,,0.856820,0.620848,0.925475,0.028244,0.899260,0.893926,170,170
1.original,28_2026_NQ-CP_710007.txt,ok,,0.837600,0.728575,0.928190,0.043575,0.897584,0.902047,9,9
1.original,28_2026_NQ-HDND_709420.txt,ok,,0.825821,0.646160,0.912174,0.056712,0.892266,0.892305,10,10
1.original,28_2026_NQ-HDND_710200.txt,ok,,0.802144,0.599194,0.930200,0.048359,0.872736,0.870348,42,42
1.original,29_2023_QH15_530116.txt,ok,,0.843401,0.710127,0.928316,0.025914,0.897022,0.883187,153,152
1.original,29_2026_NQ-HDND_709421.txt,ok,,0.827174,0.725485,0.930057,0.045753,0.894167,0.895305,15,15
1.original,30_2023_QH15_445699.txt,ok,,0.823112,0.336991,0.900436,0.080758,0.861158,0.867286,39,38
