filename,attack_group,layoutlmv3_cosine_similarity
04_2026_QH16_681012.npy,3.delete,0.998984
05_2022_QH15_486445.npy,3.delete,0.999975
05_2026_NQ-HDND_707049.npy,3.delete,0.999438
05_2026_NQ-HDND_707532.npy,3.delete,0.999831
05_2026_NQ-HDND_707602.npy,3.delete,0.998199
05_2026_NQ-HDND_707832.npy,3.delete,0.999316
05_2026_QH16_704792.npy,3.delete,0.999549
06_2022_QH15_418232.npy,3.delete,0.999779
06_2026_NQ-HDND_707048.npy,3.delete,0.995741
06_2026_NQ-HDND_707604.npy,3.delete,0.995661
06_2026_QH16_704653.npy,3.delete,0.999943
07_2022_QH15_458435.npy,3.delete,0.999956
07_2026_NQ-HDND_707047.npy,3.delete,0.998943
07_2026_NQ-HDND_707601.npy,3.delete,0.999660
07_2026_QH16_704791.npy,3.delete,0.999620
08_2022_QH15_m_465916.npy,3.delete,0.999884
08_2026_NQ-HDND_707605.npy,3.delete,0.998685
08_2026_NQ-HDND_710089.npy,3.delete,0.998690
09_2022_QH15_m_513345.npy,3.delete,0.999952
09_2026_NQ-HDND_707045.npy,3.delete,0.966825
09_2026_NQ-HDND_707103.npy,3.delete,0.999200
09_2026_QH16_703956.npy,3.delete,0.999171
100_2025_QH15_688908.npy,3.delete,0.999872
101_2025_QH15_686537.npy,3.delete,0.999878
102_2025_QH15_624015.npy,3.delete,0.999948
103_2025_QH15_686538.npy,3.delete,0.999500
104_2025_QH15_633465.npy,3.delete,0.999859
105_2025_QH15_667661.npy,3.delete,0.999966
106_2025_QH15_628717.npy,3.delete,0.999997
107_2025_QH15_346850.npy,3.delete,0.999518
108_2025_QH15_675268.npy,3.delete,0.999987
109_2025_QH15_665870.npy,3.delete,0.999241
10_2022_QH15_546085.npy,3.delete,0.999962
10_2026_NQ-HDND_707046.npy,3.delete,0.998068
10_2026_NQ-HDND_707105.npy,3.delete,0.997847
110_2025_QH15_581160.npy,3.delete,0.999985
111_2025_QH15_667663.npy,3.delete,0.999851
112_2025_QH15_586814.npy,3.delete,0.999991
113_2025_QH15_443680.npy,3.delete,0.998302
114_2025_QH15_658530.npy,3.delete,0.999789
115_2025_QH15_675264.npy,3.delete,0.998061
116_2025_QH15_666020.npy,3.delete,0.999976
117_2025_QH15_685866.npy,3.delete,0.999843
118_2025_QH15_682798.npy,3.delete,0.999990
119_2025_QH15_685933.npy,3.delete,0.998317
11_2022_QH15_544688.npy,3.delete,0.999965
11_2026_NQ-HDND_707106.npy,3.delete,0.999417
11_2026_NQ-HDND_707159.npy,3.delete,0.999850
11_2026_NQ-HDND_709745.npy,3.delete,0.971510
120_2025_QH15_666019.npy,3.delete,0.999975
121_2025_QH15_689140.npy,3.delete,0.999991
122_2025_QH15_662035.npy,3.delete,0.999974
123_2025_QH15_656970.npy,3.delete,0.999621
124_2025_QH15_687560.npy,3.delete,0.999976
125_2025_QH15_663779.npy,3.delete,0.999961
126_2025_QH15_581548.npy,3.delete,0.999960
127_2025_QH15_686325.npy,3.delete,0.999917
128_2025_QH15_679014.npy,3.delete,0.999947
129_2025_QH15_675261.npy,3.delete,0.999767
12_2022_QH15_505749.npy,3.delete,0.999969
12_2026_NQ-HDND_707158.npy,3.delete,0.999080
12_2026_NQ-HDND_709406.npy,3.delete,0.998888
12_2026_NQ-HDND_709746.npy,3.delete,0.999533
12_NQ-HDND_707831.npy,3.delete,0.998622
12_NQ-HDND_708054.npy,3.delete,0.999770
130_2025_QH15_687674.npy,3.delete,0.999991
131_2025_QH15_675267.npy,3.delete,0.999826
132_2025_QH15_685733.npy,3.delete,0.999777
133_2025_QH15_675211.npy,3.delete,0.999849
134_2025_QH15_679013.npy,3.delete,0.999985
135_2025_QH15_675213.npy,3.delete,0.999992
135_NQ-CP_706738.npy,3.delete,0.999785
136_2025_QH15__686937.npy,3.delete,0.999353
137_2025_QH15_686549.npy,3.delete,0.998909
138_2025_QH15_686527.npy,3.delete,0.998627
139_2025_QH15_684512.npy,3.delete,0.999741
13_2022_QH15_490095.npy,3.delete,0.999589
13_2026_NQ-HDND_707807.npy,3.delete,0.998303
13_2026_NQ-HDND_709407.npy,3.delete,0.998750
13_2026_NQ-HDND_709751.npy,3.delete,0.999530
140_2025_QH15_675263.npy,3.delete,0.999708
140_NQ-CP_707328.npy,3.delete,0.998527
141_2025_QH15_686550.npy,3.delete,0.996907
141_NQ-CP_708014.npy,3.delete,0.999360
142_2025_QH15_675210.npy,3.delete,0.999970
143_2025_QH15_681550.npy,3.delete,0.999877
143_NQ-CP_709397.npy,3.delete,0.969705
144_2025_QH15_675260.npy,3.delete,0.998832
145_2025_QH15_684669.npy,3.delete,0.999902
146_2025_QH15_675259.npy,3.delete,0.999980
147_2025_QH15_675265.npy,3.delete,0.999919
148_2025_QH15_m_675262.npy,3.delete,0.999634
148_NQ-CP_710006.npy,3.delete,0.999950
149_2025_QH15_679698.npy,3.delete,0.988100
14_2022_QH15_519327.npy,3.delete,0.999976
14_2026_NQ-HDND_707808.npy,3.delete,0.999422
14_2026_NQ-HDND_709408.npy,3.delete,0.998798
14_2026_NQ-HDND_710206.npy,3.delete,0.999790
14_NQ-HDND_707830.npy,3.delete,0.998244
150_2025_QH15_685773.npy,3.delete,0.999372
15_2023_QH15_372143.npy,3.delete,0.999996
15_2026_NQ-HDND_707809.npy,3.delete,0.999450
15_2026_NQ-HDND_707811.npy,3.delete,0.953007
15_2026_NQ-HDND_709741.npy,3.delete,0.999991
15_NQ-HDND_707829.npy,3.delete,0.999669
16_2023_QH15_519324.npy,3.delete,0.999977
16_2026_NQ-HDND_707769.npy,3.delete,0.999846
16_2026_NQ-HDND_707810.npy,3.delete,0.979104
17_2023_QH15_499239.npy,3.delete,0.999898
17_2026_NQ-HDND_709410.npy,3.delete,0.999564
18_2023_QH15_519325.npy,3.delete,0.999860
18_2026_NQ-HDND_709411.npy,3.delete,0.994042
18_NQ-HDND_707827.npy,3.delete,0.993974
19_2023_QH15_m_500102.npy,3.delete,0.999985
19_2026_NQ-HDND_709412.npy,3.delete,0.998862
20_2023_QH15_m_513347.npy,3.delete,0.999991
20_2026_NQ-HDND_709415.npy,3.delete,0.999471
20_2026_NQ-HDND_709736.npy,3.delete,0.999745
20_NQ-HDND_707825.npy,3.delete,0.998912
21_2026_NQ-HDND_709413.npy,3.delete,0.999593
21_2026_NQ-HDND_709737.npy,3.delete,0.999850
21_NQ-HDND_707824.npy,3.delete,0.963201
22_2026_NQ-HDND_709414.npy,3.delete,0.999231
22_2026_NQ-HDND_709738.npy,3.delete,0.999896
23_2023_QH15_m_563579.npy,3.delete,0.999107
23_2026_NQ-HDND_709416.npy,3.delete,0.999317
23_2026_NQ-HDND_709739.npy,3.delete,0.999708
23_NQ-HDND_707612.npy,3.delete,0.998949
23_NQ-HDND_707821.npy,3.delete,0.920042
23_NQ-HDND_709740 (1).npy,3.delete,0.998707
23_NQ-HDND_709740.npy,3.delete,0.998707
24_2023_QH15_535782.npy,3.delete,0.999980
24_2026_NQ-HDND_709417.npy,3.delete,0.997509
24_2026_NQ-HDND_709733.npy,3.delete,0.999750
24_NQ-HDND_707611.npy,3.delete,0.997840
24_NQ-HDND_707820.npy,3.delete,0.988805
25_2023_QH15_548477.npy,3.delete,0.999738
25_2026_NQ-HDND_709430.npy,3.delete,0.998075
25_2026_NQ-HDND_709752.npy,3.delete,0.999781
26_2023_QH15_m_552422.npy,3.delete,0.999933
26_2026_NQ-HDND_709418.npy,3.delete,0.999343
26_2026_NQ-HDND_709750.npy,3.delete,0.999932
26_NQ-HDND_709743.npy,3.delete,0.999739
